id,Artist,Duration,Song Title,Decade,Genre,Album
1,Eminem,265.74322,Lose Yourself,2000s,Hip Hop,8 Mile: Music from and Inspired by the Motion Picture
2,Rihanna,357.19256,Umbrella,2000s,Pop,Good Girl Gone Bad
3,Leona Lewis,239.50667,Bleeding Love,2000s,Pop,Spirit
4,Lady Gaga,237.35438,Poker Face,2000s,Pop,The Fame
5,OutKast,134.73914,Hey Ya!,2000s,Hip Hop,Speakerboxxx/The Love Below
6,Usher,174.48,Yeah!,2000s,R&B,Confessions
7,Eminem,299.32757,Without Me,2000s,Hip Hop,The Eminem Show
8,50 Cent,224.07256,In Da Club,2000s,Hip Hop,Get Rich or Die Tryin'
9,Katy Perry,181.35946,I Kissed a Girl,2000s,Pop,One of the Boys
10,The Black Eyed Peas,279.10667,I Gotta Feeling,2000s,Pop,The E.N.D. (The Energy Never Dies)
11,The Black Eyed Peas,229.90667,Where Is The Love?,2000s,Pop,Elephunk
12,Fergie,255.68608,Big Girls Don't Cry,2000s,Pop,The Dutchess
13,Flo Rida,228.62322,Low (Feat. T-Pain) (Album Version),2000s,Hip Hop,Mail On Sunday
14,Sean Kingston,257.42404,Beautiful Girls,2000s,Pop,Sean Kingston
15,Shakira,436.02667,Hips Don't Lie (feat. Wyclef Jean),2000s,Pop,Oral Fixation, Vol. 2
16,Justin Timberlake,265.84803,SexyBack,2000s,Pop,FutureSex/LoveSounds
17,Beyoncé,251.68,Crazy In Love,2000s,R&B,Dangerously In Love
18,Kylie Minogue,229.67955,Can't Get You out of My Head,2000s,Pop,Fever
19,Nickelback,224.82667,How You Remind Me,2000s,Rock,Silver Side Up
20,Madonna,337.76281,Hung Up,2000s,Pop,Confessions on a Dance Floor
21,Madonna,224.24,Music,2000s,Pop,Music
22,Avril Lavigne,216.68,Girlfriend,2000s,Pop,The Best Damn Thing
23,Shakira,196.89333,"Whenever, Wherever",2000s,Pop,Laundry Service
24,Nelly,288.73288,Dilemma featuring Kelly Rowland (Radio Edit),2000s,Hip Hop,Nellyville
25,Timbaland,184.61333,Apologize,2000s,Hip Hop,Shock Value
26,The Pussycat Dolls,282.84757,Don't Cha,2000s,Pop,PCD
27,Lady Gaga,202.34404,JUST DANCE,2000s,Pop,The Fame
28,Lady Gaga,233.78621,Bad Romance,2000s,Pop,The Fame Monster
29,t.A.T.u.,213.33333,All The Things She Said,2000s,Pop,200 km/h in the Wrong Lane
30,Pink Ball,170.64558,So What,2000s,Pop,Funhouse
31,Christina Aguilera,249.07156,Lady Marmalade,2000s,Pop,Music From Baz Luhrmann's Film Moulin Rouge
32,U2,305.15959,Beautiful Day,2000s,Rock,All That You Can't Leave Behind
33,Gnarls Barkley,180.33333,Crazy,2000s,Pop,St. Elsewhere
34,James Blunt,230.86975,You're Beautiful,2000s,Pop,Back to Bedlam
35,Avril Lavigne,252.19156,Complicated,2000s,Pop,Let Go
36,Beyoncé,252.16757,Irreplaceable,2000s,R&B,B'Day
37,David Guetta,183.97333,Sexy Chick - featuring Akon,2000s,Electronic,One Love
38,Beyoncé,207.31202,Beautiful Liar,2000s,R&B,B'Day
39,Madonna,245.08,4 Minutes (feat. Justin Timberlake and Timbaland),2000s,Pop,Hard Candy
40,PINK,487.06667,Get The Party Started (Almighty Mix),2000s,Pop,Missundaztood
41,Ke$ha,300.22667,TiK ToK (Untold Remix),2000s,Pop,Animal + Cannibal
42,Las Ketchup,209.07202,The Ketchup Song (Asereje),2000s,Pop,Hijas del Tomate
43,Christina Aguilera,236.51955,Beautiful,2000s,Pop,Stripped
44,Alicia Keys,238.56,No One,2000s,R&B,As I Am
45,Evanescence,252.86404,Bring Me To Life,2000s,Rock,Fallen
46,Katy Perry,220.89333,Hot N Cold,2000s,Pop,One of the Boys
47,Flo Rida,197.17179,Right Round,2000s,Hip Hop,R.O.O.T.S.
48,Britney Spears,218.74621,Toxic,2000s,Pop,In the Zone
49,Daniel Powter,234.36,Bad Day,2000s,Pop,Daniel Powter
50,The Black Eyed Peas,204.87959,Boom Boom Pow,2000s,Pop,The E.N.D. (The Energy Never Dies)
51,Alicia Keys,284.36,Fallin',2000s,R&B,Songs in A Minor
52,Rihanna,233.24757,Don't Stop The Music,2000s,Pop,Good Girl Gone Bad
53,Mariah Carey,262.89333,We Belong Together,2000s,R&B,The Emancipation of Mimi
54,Green Day,261.72,Boulevard Of Broken Dreams,2000s,Rock,American Idiot
55,Kanye West,246.10667,Stronger,2000s,Hip Hop,Graduation
56,Akon,213.22621,Lonely,2000s,R&B,Trouble
57,*NSync,192.4,Bye Bye Bye,2000s,Pop,No Strings Attached
58,Nelly Furtado,219.89297,Promiscuous,2000s,Pop,Loose
59,Nelly Furtado,236.52,Say It Right,2000s,Pop,Loose
60,The Black Eyed Peas,269.08757,Shut Up,2000s,Pop,Elephunk
61,Elvis Presley,210.44,A Little Less Conversation (JXL Radio Edit Remix),2000s,Rock,ELV1S 30 #1 Hits
62,Vanessa Carlton,236.96,A Thousand Miles,2000s,Pop,Be Not Nobody
63,Timbaland,182.61333,The Way I Are,2000s,Hip Hop,Shock Value
64,Kid Rock,297.58667,All Summer Long,2000s,Rock,Rock N Roll Jesus
65,Kanye West,207.62667,Gold Digger,2000s,Hip Hop,Late Registration
66,Eamon,369.84118,Fuck It (I Don't Want You Back),2000s,R&B,I Don't Want You Back
67,Eminem,380.48,Stan,2000s,Hip Hop,The Marshall Mathers LP
68,Britney Spears,251.49601,Oops!...I Did It Again,2000s,Pop,Oops!...I Did It Again
69,LeAnn Rimes,217.13288,Can't Fight The Moonlight,2000s,Country,Coyote Ugly
70,Shaggy,59.94667,It Wasn't Me,2000s,Reggae,Hot Shot
71,Coldplay,114.6771,Viva La Vida,2000s,Alternative,Viva La Vida or Death and All His Friends
72,Plain White T's,232.77333,Hey There Delilah,2000s,Pop,All That We Needed
73,Gwen Stefani,48.3522,Hollaback Girl,2000s,Pop,Love. Angel. Music. Baby.
74,Jason Mraz,212.62667,I'm Yours,2000s,Pop,We Sing. We Dance. We Steal Things.
75,The Black Eyed Peas,241.37333,Don't Phunk With My Heart,2000s,Pop,Monkey Business
76,R. Kelly,172.9824,Ignition,2000s,R&B,Chocolate Factory
77,OutKast,239.58667,Ms. Jackson,2000s,Hip Hop,Stankonia
78,Beyoncé,216.64,Single Ladies,2000s,R&B,I Am... Sasha Fierce
79,Shaggy,235.13333,Angel,2000s,Reggae,Hot Shot
80,Santana,237.89288,Maria Maria,2000s,Rock,Supernatural
81,Enrique Iglesias,246.54621,Hero,2000s,Pop,Escape
82,Gwen Stefani,235.91138,The Sweet Escape,2000s,Pop,The Sweet Escape
83,Amy Winehouse,207.03955,Rehab,2000s,Soul,Back to Black
84,Destiny's Child,243.06603,Lose My Breath,2000s,R&B,Destiny Fulfilled
85,Rihanna,242.26667,Take A Bow,2000s,Pop,Good Girl Gone Bad
86,Rihanna,227.16036,Disturbia,2000s,Pop,Good Girl Gone Bad
87,Akon,249.75955,Don't Matter,2000s,R&B,Konvicted
88,Duffy,209.08757,Mercy,2000s,Pop,Rockferry
89,Akon,217.38522,Smack That,2000s,R&B,Konvicted
90,Mario,113.31873,Let Me Love You,2000s,R&B,Turning Point
91,Dido,248.50667,White Flag,2000s,Pop,Life for Rent
92,Jordin Sparks,287.85601,No Air duet with Chris Brown,2000s,Pop,Jordin Sparks
93,The Fray,261.16,How to Save a Life,2000s,Alternative,How to Save a Life
94,Beyoncé,211.89288,If I Were A Boy,2000s,R&B,I Am... Sasha Fierce
95,Jennifer Lopez,167.74667,Love Don't Cost a Thing,2000s,Pop,J.Lo
96,Lifehouse,218.36757,Hanging By A Moment,2000s,Alternative,No Name Face
97,Eminem,273.21424,The Real Slim Shady,2000s,Hip Hop,The Marshall Mathers LP
98,Eminem,200.25333,Just Lose It,2000s,Hip Hop,Encore
99,The Black Eyed Peas,212.45288,MEET ME HALF WAY (Radio Edit),2000s,Pop,The E.N.D. (The Energy Never Dies)
